"","Location","Price","Rooms","Car.Parks","Property.Type","Land.Type","Land.Size.Sq.ft","Extra_Rooms"
"41218","Segambut",630000,3,2,"Condominium","Built-up ",1168,0
"41219","Segambut",580000,2,2,"Serviced Residence","Land area ",713,1
"41220","Segambut",8e+05,3,2,"Condominium (Intermediate)","Built-up ",1391,0
"41221","Segambut",630000,3,2,"Condominium (Intermediate)","Built-up ",1155,0
"41222","Segambut",780000,3,2,"Condominium (Intermediate)","Built-up ",1295,0
"41223","Segambut",780000,3,2,"Condominium (Intermediate)","Built-up ",1295,0
"41224","Segambut",730000,3,2,"Condominium (Intermediate)","Built-up ",1391,0
"41225","Segambut",630000,3,2,"Condominium (Intermediate)","Built-up ",1155,0
"41226","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",900,0
"41227","Segambut",690000,3,2,"Condominium (Intermediate)","Built-up ",1298,0
"41228","Segambut",710000,3,2,"Condominium (Intermediate)","Built-up ",1391,0
"41229","Segambut",580000,3,2,"Flat (Intermediate)","Built-up ",902,0
"41230","Segambut",580000,3,2,"Townhouse (Intermediate)","Land area ",1600,0
"41231","Segambut",580000,3,2,"Apartment (Intermediate)","Built-up ",995,0
"41232","Segambut",580000,3,1,"Apartment","Unknown",966,0
"41233","Segambut",1200000,4,2,"2-sty Terrace/Link House (Corner)","Land area ",2870,0
"41234","Segambut",580000,3,1,"Townhouse (EndLot)","Built-up ",1600,0
"41235","Segambut",2100000,4,2,"Semi-detached House","Built-up ",4223,1
"41236","Segambut",1900000,7,5,"3-sty Terrace/Link House (Intermediate)","Built-up ",4068,0
"41237","Segambut",690000,3,2,"Condominium (Intermediate)","Built-up ",1262,1
"41238","Segambut",630000,3,2,"Condominium (Intermediate)","Built-up ",1091,0
"41239","Segambut",590000,3,2,"Condominium (Corner)","Built-up ",1300,0
"41240","Segambut",1215000,4,2,"Condominium (Corner)","Built-up ",2600,1
"41241","Segambut",580000,3,2,"2.5-sty Terrace/Link House (Intermediate)","Land area ",630,0
"41242","Segambut",580000,3,2,"Apartment (Intermediate)","Built-up ",850,0
"41243","Segambut",580000,2,1,"Apartment (Intermediate)","Built-up ",850,1
"41244","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",855,0
"41245","Segambut",580000,3,2,"Apartment (Intermediate)","Built-up ",855,0
"41246","Segambut",580000,3,2,"Apartment (Intermediate)","Built-up ",855,0
